[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[10866.553651] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10866.574001] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10871.802509] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10871.818192] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10877.050741] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10877.074218] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10882.294815] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10882.310174] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10887.549779] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10887.570202] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10892.810639] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10892.826590] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10898.059048] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10898.075214] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10903.294378] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10903.314955] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10908.549624] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10908.574183] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10913.789825] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10913.810147] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10919.040912] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10919.058126] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10924.294509] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10924.318592] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10929.553970] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10929.574976] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10934.793615] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10934.826111] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10940.051343] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10940.074305] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10945.144612] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10945.174313] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10950.310163] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10950.326039] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10955.549613] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10955.570097] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10960.794122] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10960.818288] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10966.050482] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10966.067498] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
